School_Code,School_Name,District_Code,District_Name,School_Type,School_Index,School_Rating_Category,ESSA_Support_Status,Comprehensive_Decision,Targeted_Decision,Targeted_Subgroups,School_Index_Source,Percent_Male,Percent_Female,Percent_EL,Percent_FRL,Percent_IEP,Percent_Asian,Percent_Black,Percent_PacIs,Percent_Hispanic,Percent_Multi,Percent_NatAm,Percent_White,Percent_Foster_Care,Percent_Military_Connected,Percent_Migrant,Percent_Homeless,Count_All_Students,Percent_NonBinary,Index_EL,Index_FRL,Index_IEP,Index_Asian,Index_Black,Index_PacIs,Index_Hispanic,Index_Multi,Index_NatAm,Index_White
810409,Grant Center,81,Albia Comm School District,Elementary,59.83,Commendable,No Support Required,Met,Met,Achieved Standard,14490:Lincoln Center,54.1,45.9,0.4,45.9,12.4,0.0,0.4,0.0,2.1,4.3,0.0,93.1,0.4,0.0,0.0,2.1,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810427,Lincoln Center,81,Albia Comm School District,Elementary,59.83,Commendable,Targeted Year 1,Met,Targeted,Students with Disabilities (IEP),Independent Institutional Data,47.4,52.6,0.0,42.0,13.7,0.0,0.3,0.0,3.8,3.4,0.3,92.2,0.3,0.0,0.0,0.7,293,0.0,0.0,58.48,38.19,0.0,0.0,0.0,0.0,0.0,0.0,59.47
990172,Alburnett Senior High School,99,Alburnett Comm School District,High,53.86,Acceptable,Targeted Year 1,Met,Targeted,Low Socio-Economic Status (FRL),Independent Institutional Data,50.6,49.4,0.0,19.8,6.6,0.0,2.1,0.0,0.8,0.8,0.0,96.3,0.0,0.0,0.0,0.0,243,0.0,0.0,43.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43
990209,Alburnett Middle School,99,Alburnett Comm School District,Middle,52.39,Acceptable,Targeted Year 2,Met,Targeted,Students with Disabilities (IEP),Independent Institutional Data,51.1,48.9,0.0,18.1,13.8,0.5,1.6,0.0,1.6,3.7,0.0,92.6,0.0,0.0,0.0,0.0,188,0.0,0.0,47.4,43.08,0.0,0.0,0.0,0.0,0.0,0.0,52.33
990409,Alburnett Elementary School,99,Alburnett Comm School District,Elementary,58.1,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,53.4,46.6,0.0,24.8,9.9,0.0,0.3,0.0,1.2,3.0,0.0,95.5,0.0,0.0,0.0,0.0,335,0.0,0.0,54.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.34
1080409,Alden Elementary School,108,Alden Comm School District,Elementary,52.28,Acceptable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,51.2,48.8,6.2,39.5,11.6,0.0,1.6,0.0,10.9,6.2,0.0,81.4,0.0,0.0,0.0,0.0,129,0.0,0.0,53.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.03
1260109,Algona High School,126,Algona Comm School District,High,55.64,Commendable,Targeted Year 2,Met,Targeted,"Low Socio-Economic Status (FRL), Students with Disabilities (IEP)",Independent Institutional Data,52.9,47.1,1.1,31.3,16.2,0.9,0.6,0.0,6.9,2.4,0.0,89.2,0.4,0.0,0.0,0.0,463,0.0,0.0,41.71,36.09,0.0,0.0,0.0,0.0,0.0,0.0,55.53
1260209,Algona Middle School,126,Algona Comm School District,Middle,58.75,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,52.5,47.5,0.9,41.1,14.5,0.0,0.2,0.0,10.5,1.4,0.0,88.0,0.2,0.0,0.2,0.0,440,0.0,0.0,54.86,51.67,0.0,0.0,0.0,55.33,0.0,0.0,59.15
1260409,Bertha Godfrey Elementary School,126,Algona Comm School District,Elementary,56.4,Commendable,No Support Required,Met,Met,Achieved Standard,14503:Lucia Wallace Elementary School,60.6,39.4,6.1,37.9,6.1,0.0,0.8,0.0,8.3,0.0,0.0,90.9,0.0,0.0,0.0,0.0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260412,Bryant Elementary School,126,Algona Comm School District,Elementary,56.4,Commendable,No Support Required,Met,Met,Achieved Standard,14503:Lucia Wallace Elementary School,51.0,49.0,4.4,35.8,13.2,0.0,0.5,0.5,8.8,0.0,0.0,90.2,0.0,0.0,0.0,0.0,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260427,Lucia Wallace Elementary School,126,Algona Comm School District,Elementary,56.4,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,49.5,50.5,2.7,35.9,17.4,0.5,0.0,0.0,8.2,0.5,0.5,90.2,0.0,0.0,1.1,0.0,184,0.0,0.0,52.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.03
1350109,Waukon High School,135,Allamakee Comm School District,High,56.61,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,56.3,43.7,1.6,43.7,11.3,1.1,0.0,0.0,3.4,0.8,0.0,94.7,0.3,5.0,0.3,0.0,380,0.0,0.0,54.25,48.05,0.0,0.0,0.0,0.0,0.0,0.0,57.04
1350218,Waukon Middle School,135,Allamakee Comm School District,Middle,59.04,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,47.4,52.6,1.1,39.3,12.2,0.4,0.7,0.0,3.3,1.5,0.0,94.1,0.4,4.4,0.0,0.0,270,0.0,0.0,59.59,49.97,0.0,0.0,0.0,0.0,0.0,0.0,58.8
1350412,East Campus Elementary School,135,Allamakee Comm School District,Elementary,53.27,Acceptable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,55.3,44.7,0.0,44.7,21.8,0.0,0.5,0.0,1.5,1.9,0.0,96.1,0.5,4.9,0.0,1.0,206,0.0,0.0,52.36,49.95,0.0,0.0,0.0,0.0,0.0,0.0,53.37
1350427,West Campus Elementary School,135,Allamakee Comm School District,Elementary,53.27,Acceptable,No Support Required,Met,Met,Achieved Standard,14511:East Campus Elementary School,53.8,46.2,3.8,41.0,10.4,0.5,0.5,0.0,5.2,0.9,0.0,92.9,0.0,2.4,0.0,0.0,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530172,North Butler Jr/Sr High School,153,North Butler Comm School District,High,56.18,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,51.7,48.3,0.0,24.7,16.6,1.1,0.4,0.0,1.8,2.2,0.0,94.5,0.4,0.0,0.0,0.0,271,0.0,0.0,49.84,44.96,0.0,0.0,0.0,0.0,0.0,0.0,55.88
1530418,North Butler Elementary,153,North Butler Comm School District,Elementary,48.98,Needs Improvement,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,49.2,50.8,0.0,32.5,11.4,0.4,0.4,0.0,2.8,1.2,0.0,95.1,0.0,0.0,0.0,0.0,246,0.0,0.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.08
1710172,Alta-Aurelia High School,171,Alta-Aurelia Comm School District,High,51.08,Acceptable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,45.1,54.9,2.9,41.3,7.8,0.5,1.0,1.9,11.2,2.9,0.0,82.5,0.5,0.0,1.9,0.0,206,0.0,0.0,45.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.62
1710209,Alta-Aurelia Middle Sch,171,Alta-Aurelia Comm School District,Middle,60.76,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,45.0,55.0,5.2,45.5,7.8,0.9,1.3,2.6,20.3,1.3,0.0,73.6,0.9,0.0,0.4,0.0,231,0.0,0.0,56.82,0.0,0.0,0.0,0.0,65.47,0.0,0.0,60.35
1710409,Alta Elementary School,171,Alta-Aurelia Comm School District,Elementary,52.66,Acceptable,No Support Required,Met,Met,Achieved Standard,14524:Aurelia Elementary School,54.5,45.5,10.0,38.5,13.0,0.5,1.0,5.5,23.5,1.5,0.0,68.0,0.5,0.0,4.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710418,Aurelia Elementary School,171,Alta-Aurelia Comm School District,Elementary,52.66,Acceptable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,55.9,44.1,5.9,36.2,17.1,0.0,1.3,2.0,17.1,2.6,0.0,77.0,0.7,0.0,1.3,0.0,152,0.0,0.0,46.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7
2250109,Ames High School,225,Ames Comm School District,High,60.54,Commendable,Extended Targeted Year 2,Met,Targeted,"Black/African American, Students with Disabilities (IEP)",Independent Institutional Data,51.7,47.5,4.6,30.0,9.4,8.5,9.4,0.0,11.2,5.5,0.2,65.2,1.2,0.4,0.0,0.6,1403,0.8,45.57,45.02,35.27,64.34,41.45,0.0,45.98,58.91,0.0,60.67
2250218,Ames Middle School,225,Ames Comm School District,Middle,54.59,Acceptable,Extended Targeted Year 2,Met,Targeted,"English Learners (EL), Students with Disabilities (IEP)",Independent Institutional Data,50.3,49.3,5.0,30.8,13.3,6.4,10.2,0.0,11.7,6.4,0.0,65.4,0.2,0.1,0.0,0.5,1002,0.4,41.81,49.98,43.09,67.4,50.14,0.0,50.33,50.05,0.0,54.28
2250427,Edwards Elementary School,225,Ames Comm School District,Elementary,50.3,Acceptable,Targeted Year 1,Met,Targeted,Low Socio-Economic Status (FRL),Independent Institutional Data,53.8,46.2,7.6,38.4,13.1,6.0,13.6,0.0,10.4,6.2,0.0,63.8,0.2,1.3,0.0,2.2,450,0.0,0.0,42.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.99
2250440,Fellows Elementary School,225,Ames Comm School District,Elementary,60.55,Commendable,Targeted Year 1,Met,Targeted,Students with Disabilities (IEP),Independent Institutional Data,52.7,47.3,8.1,26.5,16.3,17.6,5.5,0.0,10.4,8.0,0.4,58.1,1.5,1.1,0.0,0.9,528,0.0,0.0,47.32,42.78,72.98,0.0,0.0,0.0,0.0,0.0,57.76
2250454,Meeker Elementary School,225,Ames Comm School District,Elementary,51.77,Acceptable,Targeted Year 1,Met,Targeted,Low Socio-Economic Status (FRL),Independent Institutional Data,49.3,50.1,4.8,37.6,19.1,1.7,7.4,0.0,7.7,9.4,0.3,73.5,0.6,0.6,0.0,0.3,351,0.6,0.0,43.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.63
2250456,Mitchell Elementary School,225,Ames Comm School District,Elementary,70.11,Exceptional,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,56.9,43.1,9.3,46.2,13.8,3.4,18.3,0.0,11.4,7.9,0.0,59.0,0.3,0.3,0.0,1.7,290,0.0,0.0,63.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.03
2250481,Sawyer Elementary School,225,Ames Comm School District,Elementary,48.5,Needs Improvement,Extended Targeted Year 2,Met,Targeted,Low Socio-Economic Status (FRL),Independent Institutional Data,49.6,50.1,9.5,30.8,12.0,5.4,9.3,0.0,8.2,10.6,0.0,66.5,0.3,1.6,0.0,1.1,367,0.3,0.0,43.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1
2250961,Northwood Pre-School,225,Ames Comm School District,Elementary,56.25,Commendable,No Support Required,Met,Met,Achieved Standard,"14529:Edwards Elementary School,14530:Fellows Elementary School,14531:Meeker Elementary School,14532:Mitchell Elementary School,14533:Sawyer Elementary School",68.0,32.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,96.0,0.0,4.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2340109,Anamosa High School,234,Anamosa Comm School District,High,53.62,Acceptable,Targeted Year 1,Met,Targeted,Students with Disabilities (IEP),Independent Institutional Data,51.9,48.1,1.0,39.0,10.6,2.3,0.8,0.0,3.0,2.0,0.0,91.9,0.3,0.8,0.0,0.3,397,0.0,0.0,49.24,41.12,0.0,0.0,0.0,0.0,0.0,0.0,53.62
2340209,Anamosa Middle School,234,Anamosa Comm School District,Middle,61.27,High Performing,Targeted Year 1,Met,Targeted,Students with Disabilities (IEP),Independent Institutional Data,53.2,46.8,1.5,39.8,12.2,0.3,1.7,0.0,5.2,2.6,0.3,89.8,0.9,1.2,0.0,0.0,344,0.0,0.0,56.07,43.68,0.0,0.0,0.0,0.0,0.0,0.0,61.34
2340418,Strawberry Hill,234,Anamosa Comm School District,Elementary,64.71,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,52.2,47.8,0.3,46.5,11.8,0.0,1.9,0.0,3.2,4.3,0.3,90.3,1.9,0.8,0.0,2.2,372,0.0,0.0,64.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.69
2430409,Andrew Elementary School,243,Andrew Comm School District,Elementary,55.05,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,53.2,46.8,1.6,33.1,16.1,0.0,3.2,0.0,2.4,0.8,0.0,93.5,0.0,0.0,0.0,2.4,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.62
2610109,Ankeny High School,261,Ankeny Comm School District,High,58.2,Commendable,Extended Targeted Year 2,Met,Targeted,"Low Socio-Economic Status (FRL), Students with Disabilities (IEP)",Independent Institutional Data,53.5,46.2,1.6,19.8,9.7,2.9,3.0,0.1,7.3,5.3,0.1,81.2,0.2,0.1,0.0,0.2,1347,0.3,0.0,43.12,39.52,59.78,50.02,0.0,46.01,57.19,0.0,58.96
2610118,Ankeny Centennial High School,261,Ankeny Comm School District,High,57.7,Commendable,Targeted Year 2,Met,Met,Achieved Standard,Independent Institutional Data,51.3,48.5,1.6,16.0,9.8,2.4,5.2,0.0,7.8,4.2,0.0,80.4,0.0,0.1,0.0,0.6,1443,0.2,0.0,50.81,46.49,60.21,56.55,0.0,55.38,51.87,0.0,58.32
2610209,Parkview Middle School,261,Ankeny Comm School District,Middle,59.98,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,53.5,46.5,3.0,22.6,13.4,4.5,5.4,0.0,8.5,5.5,0.3,75.7,0.0,0.1,0.0,0.1,867,0.0,51.64,57.41,58.92,63.98,56.0,0.0,59.36,61.77,0.0,62.85
2610218,Prairie Ridge Middle School,261,Ankeny Comm School District,Middle,55.27,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,49.1,50.9,1.3,16.3,12.3,2.7,4.0,0.1,7.2,4.6,0.2,81.2,0.1,0.0,0.0,0.2,1025,0.0,0.0,51.28,48.14,62.7,53.83,0.0,55.24,51.29,0.0,55.42
2610224,Northview Middle School,261,Ankeny Comm School District,Middle,56.61,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,51.6,48.3,1.7,17.0,7.6,2.5,4.2,0.2,6.9,5.7,0.0,80.4,0.1,0.2,0.0,0.1,1065,0.1,0.0,53.37,50.48,62.55,51.99,0.0,55.5,54.9,0.0,56.83
2610227,Southview Middle School,261,Ankeny Comm School District,Middle,59.29,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,54.5,45.4,2.9,22.2,9.9,2.6,2.7,0.0,8.9,6.6,0.2,79.0,0.0,0.0,0.0,0.3,896,0.1,53.17,54.79,48.73,57.86,56.12,0.0,60.4,60.15,0.0,59.57
2610405,East Elementary School,261,Ankeny Comm School District,Elementary,55.28,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,56.4,43.6,6.8,36.6,14.0,3.6,7.3,0.0,9.2,12.1,0.2,67.6,0.2,0.0,0.0,1.0,413,0.0,0.0,52.77,44.43,0.0,0.0,0.0,0.0,0.0,0.0,53.34
2610409,Northwest Elementary School,261,Ankeny Comm School District,Elementary,58.66,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,48.0,52.0,4.5,33.6,14.1,1.4,7.6,0.0,12.7,9.0,0.3,68.9,1.4,0.0,0.0,0.0,354,0.0,0.0,53.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.39
2610412,Prairie Trail Elementary,261,Ankeny Comm School District,Elementary,59.82,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,50.4,49.6,3.2,7.0,6.8,2.8,3.2,0.2,6.0,5.8,0.2,82.0,0.5,0.2,0.0,0.0,571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.32
2610418,Ashland Ridge Elementary,261,Ankeny Comm School District,Elementary,60.85,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,49.5,50.5,2.6,10.7,6.5,3.4,3.3,0.0,4.6,5.3,0.0,83.4,0.1,0.3,0.0,0.5,759,0.0,0.0,55.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53
2610427,Southeast Elementary School,261,Ankeny Comm School District,Elementary,60.58,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,53.1,46.9,7.5,29.6,14.0,3.8,7.9,0.0,9.2,7.1,0.0,71.9,0.0,0.0,0.0,0.8,520,0.0,0.0,56.78,0.0,0.0,0.0,0.0,56.14,0.0,0.0,59.69
2610445,Westwood Elementary School,261,Ankeny Comm School District,Elementary,55.9,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,51.2,48.8,1.9,16.4,12.6,1.1,3.0,0.2,6.9,4.8,0.3,83.8,0.0,0.0,0.0,0.0,642,0.0,0.0,50.05,53.31,0.0,0.0,0.0,0.0,0.0,0.0,56.97
2610447,Northeast Elementary,261,Ankeny Comm School District,Elementary,57.07,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,50.8,49.2,4.6,10.4,8.2,3.5,3.5,0.0,6.1,5.5,0.0,81.4,0.3,0.5,0.0,0.2,655,0.0,0.0,47.15,53.25,0.0,0.0,0.0,0.0,0.0,0.0,58.24
2610448,Crocker Elementary School,261,Ankeny Comm School District,Elementary,54.87,Acceptable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,49.0,51.0,6.8,19.2,13.6,2.8,3.2,0.0,6.8,8.4,0.0,78.8,0.2,0.0,0.0,0.2,500,0.0,0.0,48.31,0.0,0.0,0.0,0.0,0.0,53.95,0.0,55.65
2610454,Rock Creek Elementary,261,Ankeny Comm School District,Elementary,57.49,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,49.0,51.0,3.3,17.6,12.4,2.6,7.0,0.0,6.3,4.0,0.1,80.1,0.4,0.0,0.0,0.1,732,0.0,0.0,51.69,49.11,0.0,0.0,0.0,0.0,0.0,0.0,58.74
2610463,Heritage Elementary,261,Ankeny Comm School District,Elementary,60.58,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,50.0,50.0,8.0,30.3,11.0,5.7,3.3,0.0,13.8,4.9,0.0,72.3,0.2,0.0,0.2,0.8,610,0.0,0.0,57.32,0.0,0.0,0.0,0.0,60.58,0.0,0.0,60.11
2790109,Aplington-Parkersburg High School,279,Aplington-Parkersburg Comm School District,High,61.88,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,48.9,50.0,0.0,24.6,11.4,0.0,0.8,0.0,1.1,0.4,0.0,97.7,0.0,0.8,0.0,0.0,264,1.1,0.0,56.74,49.52,0.0,0.0,0.0,0.0,0.0,0.0,62.17
2790172,Aplington-Parkersburg Middle School,279,Aplington-Parkersburg Comm School District,Middle,63.24,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,51.4,48.6,0.0,25.7,15.6,0.0,1.1,0.0,1.1,1.7,0.0,96.1,0.0,0.0,0.0,0.0,179,0.0,0.0,59.4,66.94,0.0,0.0,0.0,0.0,0.0,0.0,63.41
2790409,Aplington Elementary School,279,Aplington-Parkersburg Comm School District,Elementary,58.15,Commendable,Targeted Year 2,Met,Met,Achieved Standard,Independent Institutional Data,53.1,46.9,0.0,29.4,17.0,0.0,2.1,0.0,2.1,5.2,0.0,90.7,0.0,0.0,0.0,0.0,194,0.0,0.0,50.38,47.5,0.0,0.0,0.0,0.0,0.0,0.0,58.93
2790427,Parkersburg Elementary School,279,Aplington-Parkersburg Comm School District,Elementary,58.15,Commendable,No Support Required,Met,Met,Achieved Standard,14586:Aplington Elementary School,48.6,51.4,0.0,28.4,15.8,0.0,1.6,0.0,2.7,2.7,0.0,92.9,0.5,0.0,0.0,0.0,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3330109,North Union High School,333,North Union Comm School District,High,61.95,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,53.6,46.4,0.0,52.6,13.4,1.0,0.0,0.0,4.6,3.1,0.5,90.7,0.0,0.0,0.0,0.5,194,0.0,0.0,60.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26
